cislo	kapitola	2014	2015
	Návrh výdajů státního rozpočtu pro rok 2014	1192407508965	1218455070558
301	Kancelář prezidenta republiky	347368000	386787764
	Výdaje vlastního úřadu Kanceláře prezidenta republiky	104463000	108245696
	Celkové výdaje na areál Pražského hradu a zámku Lány	210405000	210267068
	Celkové výdaje na lesní hospodářství	32500000	68275000
302	Poslanecká sněmovna Parlamentu	1125936000	1068103340
303	Senát Parlamentu	522675000	519447409
304	Úřad vlády České republiky	740265318	888818264
	výdaje vlastního Úřadu vlády ČR	539670077	567616266
	výdaje spojené s činností poradních orgánů vlády	200595241	321201998
305	Bezpečnostní informační služba	136300000	1207324000
306	Ministerstvo zahraničních věcí	5936230765	6378802385
	transformační spolupráce	50000000	61000000
	humanitární pomoc	73000000	73000000
	příspěvky mezinárodním organizacím a peněžní dary vybraným institucím do zahraničí	1354758189	1552583189
	podpora českého kulturního dědictví v zahraničí	15000000	15000000
	zahraniční vysílání rozhlasu	25000000	27000000
	vrcholné návštěvy	20185000	20185000
	bezpečnostní a biometrické prvky v cestovních pasech a cestovních dokladech       	47300000	47300000
	ostatní výdaje na plnění úkolů Ministerstva zahraničních věcí	4350987576	4582734196
307	Ministerstvo obrany	42721421033	43783137234
	Zajištění obrany ČR silami Armády ČR	23045626457	24720520029
	Vytváření a rozvoj systému obrany státu 	8352417688	8747021639
	Zajištění výkonu státní správy v působnosti Ministerstva obrany	1222991897	655610499
	Zajištění strategického zpravodajství	2414232491	2014335740
	Zajištění podpory prezidenta republiky ve funkci vrchního velitele ozbrojených sil	508408000	489953390
	Zajištění dávek důchodového pojištění	4267200000	4240000000
	Zajištění ostatních sociálních dávek	2781600000	2757000000
	Zajištění státní sportovní reprezentace	128944500	158695937
308	Národní bezpečnostní úřad	307809136	325636636
	výdaje na zabezpečení plnění úkolů Národního centra kybernetické bezpečnosti	61457000	67381258
	ostatní výdaje na zabezpečení plnění úkolů Národního bezpečnostního úřadu	246352136	258255378
309	Kancelář veřejného ochránce práv	97407000	111225036
312	Ministerstvo financí	16152133377	17288182978
	Daňová správa zajišťovaná finančními orgány	7689989310	9040750967
	Výdaje na zabezpečení plnění úkolů ústředního orgánu	2434085842	2332898376
	Daňová správa zajišťovaná celními orgány	4501736020	4365481002
	Správa majetku státu a právní zastupování státu ve věcech majetkových	1507641705	1514801920
	Výdaje na zabezpečení činnosti Kanceláře finančního arbitra	18680500	34250713
313	Ministerstvo práce a sociálních věcí	525556736447	533282710722
	Dávky důchodového pojištění	382284929000	384764593300
	Dávky státní sociální podpory a pěstounské péče	39710000000	40400000000
	Dávky nemocenského pojištění	22245000000	23800000000
	Dávky pomoci v hmotné nouzi	11400000000	12214899360
	Dávky osobám se zdravotním postižením	2719000000	2738194000
	Ostatní sociální dávky	4000000	4000000
	Podpory v nezaměstnanosti	10700000000	11000000000
	Příspěvek na péči podle zákona o sociálních službách	20690000000	21000000000
	Aktivní politika zaměstnanosti celkem	4589818750	6656707775
	Výdaje spojené s realizací zákona č. 118/2000 Sb. o ochraně zaměstnanců při platební neschopnosti zaměstnavatele	500000000	400000000
	Výdaje spojené s realizací odškodňovacích zákonů	881000000	823000000
	Příspěvek na podporu zaměstnávání osob se zdravotním postižením	3600000000	3700000000
	Ostatní výdaje organizačních složek státu	15326401911	14123448814
	Neinvestiční nedávkové transfery	10097680736	11483011873
	Transfery na podporu reprodukce majetku nestátním subjektům v sociální oblasti	808906050	174855600
314	Ministerstvo vnitra	53547866638	55071981661
	Výdaje Policie ČR	27374483948	29215822613
	Výdaje Hasičského záchranného sboru ČR	6628439409	7224658388
	Výdaje na zabezpečení plnění úkolů Ministerstva vnitra	9088081237	9146173425
	Výdaje na sportovní reprezentaci	47853044	48201235
	Dávky důchod. pojištění	5222990000	4997311000
	Ostatní soc. dávky	5186019000	4439815000
315	Ministerstvo životního prostředí	13006683723	9411906545
	Ochrana přírody a krajiny	699500000	642500000
	Technická ochrana životního prostředí	5364000000	3016000000
